name,price,before_discount_price,review_count,discount
"1pc Recliner Chair Cover, Non Slip Recliner slipcover for Recliner Chair with Pocket, Washable Reclining Chair/Furniture Protector for Pets(Recliner Chair), Easy to install & Easy care, Room decoration",15.37,98.65,25K+,0.84
"Portable Car Jump Starter With Air Compressor, Jump Starter Battery Pack, 2500A Peak (2.11gal Gas, 1.72gal Diesel) With 150 PSI Tire Inflator, 12V Car Battery Jump Power Pack, Car Jumper Starter Portable, 5 In 1 Function Jump, Battery Charger Geeneu",42.72,79.99,5.5K+,0.47
"4Pack Women's Anti-blue Glasses, Women's Computer Glasses, Anti-glare Glasses",9.57,16.98,37K+,0.44
"100ft Expandable Garden Hose with Multi-Function Spray Gun - Durable, Flexible PE Coiled Hose for Watering, Car Washing, Lawn Care, and Pet Bathing - Includes Adjustable Spray Nozzle, All-Season Use, Garden Watering Tool|Flexible Hose Design|Sturdy Connectors",5.76,,436,
"1pc Ultra-Absorbent Diatomaceous Earth Bath Mat - Quick Dry, Non-Slip, Soft & Comfortable, Odor-Free Polyester Fiber, Ideal for Bathroom, Shower, Laundry Room, Bedroom, Living Room, and Kitchen, Bedroom Floor Mat|Minimalist Bath Mat|Durable Floor Mat, Bathroom Mat",8.39,34.99,100K+,0.76
"Extra Fine Tip Eyebrow Pencil - Waterproof, Sweat-Resistant, Long-Lasting Natural Look, Dual-Prong for Beginners, All Skin Types, Slim Precision Brow Pen, Essential Beauty Tool for Flawless Brows",1.84,15.99,87K+,0.88
"LOVEWE 16-Pack Solar Step Lights - Waterproof LED Outdoor Garden Lighting, Auto-On/Off, Polished Metal Finish, Plastic, Easy Semi-Flush Mount Installation for Stairs, Deck, Fence, Patio, Wall, Rail - 600mAh Solar Battery (Nickel), Non-Detachable Fixture, No Accessories Included",13.69,21.8,4.9K+,0.37
"1pcs Foldable Trolley Pet Transporter Beach Trolley, 550lb Heavy Duty Multi-purpose Garden Trolley With All-terrain Wheels For Beach, Lawn, Sports, Camping, Black, 29.92 Inch, Halloween, Christmas Gift",29.98,83.2,5K+,0.64
"100-Pack Precut Air Fryer Parchment Paper Liners - Non-Stick, Compostable Baking Sheets for Healthy Cooking, Roasting in Microwave & Air Fryer - Ideal for Home, Hotel & Commercial Kitchens",4.39,36.43,29K+,0.88
"Colorful Geometric Door Mat, Polyester Non-Slip Indoor Entrance Rug, Soft and Thick, Hand Washable, for Home Decor, Porch and Living Room",6.63,8.51,29K+,0.22
"Women's Warm Snow Sneakers, Non-slip Winter Ankle Shoes, Comfortable Walking Platform, Sneakers For Women",8.98,54.47,74K+,0.84
"1pc ""I Love You Drive Safe"" Mirror Decal Sticker - Heartfelt Reminder, Durable PVC, 0.78""x4.3"", Perfect for Car, Bus & Truck Rearview Mirrors",0.3,,11K+,
"Ultra Large Portable Laptop Bed Table - Multi Functional Tray Holder with Cup Holder And Drawer, USB, Fan, And Light - Perfect for Eating, Reading, And Writing on Beds, Sofas, Floors - Stable, Durable, And Foldable",13.97,81.91,67K+,0.83
"REVASRI Tournament-Legal Golf Rangefinder with Slope & Pin Lock Vibration, 1000 Yards Laser Distance Measurement, USB Rechargeable Battery, M/Yard Switching, for Professional Players & Beginners - White",47.42,119.99,73K+,0.6
"6-Inch Portable Cordless Mini Chainsaw - Lightweight Handheld Electric Tree Cutter with Security Lock, Splash Guard, And Rechargeable Battery for Quick Branch Trimming in Gardens & Yards, A High-Quality Gardening Supplies And Equipment Tools for Men, Courtyard, Household",15.99,,9.3K+,
"Winter Fleece Balaclava Hood Ski Mask, Wind-Resistant Face Cover, Polyester Knitted Full Head and Neck Warmer, Unisex, Lightweight, Hand Washable, Non-Stretch Fabric with Fine Craftsmanship - 1 Piece",6.97,27.99,24K+,0.75
"Valentine'S Day themed Heart graphic Print Sweatshirt, Crew Neck Casual Sweatshirt For Fall & Spring, Women'S Clothing",4.98,37.99,43K+,0.87
"1Set, Cleaning fan cleaner, with extension bar, dust brush, removable and washable microfiber fan cleaner, suitable for high ceilings, fans, furniture, cars, cleaning supplies, cleaning tools, Christmas gifts",8.55,40.0,8.2K+,0.79
"Gaming Chair, Gamer Chair for Adults Ergonomic Computer Chair for Teens, Racing Style PC Office Chair with Lumbar Support",68.87,422.89,4.9K+,0.84
"2000LBS Garage Shelving 72''H Storage Shelves Heavy Duty Shelving 5 Tier Metal Shelves For Garage Shelves 35.5""W X72""H X 15.8""D, Galvanized Adjustable Shelving Unit For Basement Pantry Utility Rack Shelf, Garage Storage Shelves",46.18,119.99,62K+,0.62
"360° Floor Cleaning Stainless Steel Spin Mop And Bucket Set, Bathroom Mop Bucket Comes with 3 Ultra-Fine Microfiber Mop Replacement Heads And a 61-Inch Adjustable Handle, Suitable for Floor Cleaning And Boat Cleaning.",17.38,75.99,13K+,0.77
"Wireless Charging Station, 3 in 1 Charging Station for Apple Devices, Wireless Chargerfor iphone 15 14 13 12 11 Pro & Max Series, AirPods Pro/3/2, Apple Watch - Black [ULListed]",7.65,39.99,4.5K+,0.81
"Women'S Waterproof Ankle & Bootie, Solid Color, Slip-On, Flat Heel, Round Toe, Fabric Upper/Inner, PU Sole, with Plush Lining, for Winter Comfort Boots",10.76,50.99,12K+,0.79
"1pc Heavy-Duty Stainless Steel Toenail Clippers with Concave Blade - Curved Design for Thick Nails, Elderly-Friendly, No-Splash Precision Trimming, Black Handle",5.31,29.99,14K+,0.82
Ceiling Fan Duster with Extendable Pole - Detachable Brush for Easy Cleaning - Ideal for RVs and Home Use,2.97,20.82,8K+,0.86
"2&4&6pcs, 4.5"" Diameter, Stainless Steel Kitchen Sink Strainers - Large Wide Rim, Anti-Clogging Micro Perforations | Kitchen Accessories & Gadgets Clearance Sale | Ideal Christmas Gifts for Kitchen Must-Haves | Kitchen Utensils Essentials Cheap",1.81,9.99,4.6K+,0.82
"Mini Space Heater, Wall Outlet Electric Space Heater as Seen on TV with Adjustable Thermostat and Timer and LED Display, Compact for Office Dorm Room",15.41,25.49,5.7K+,0.4
"1pc DEFATU·S Winter Balaclava Knit Fabric Hood, Thickened Windproof Face Cover with Ear Protection, Unisex, Machine Washable, for Cycling, Running, Skiing, Fishing, Outdoor Sports, Thanksgiving, Christmas, New Year",8.18,14.99,41K+,0.45
"Holiday Cheer| Festive 54""-70"" Multi-Level Cat Tree Tower with Cozy Condos & Scratching Posts - Ideal Christmas Gift for Indoor Cats, Durable Plywood Activity Center with Sturdy Base, Fun Pet Playhouse with Decorative Topper",36.3,229.98,3.4K+,0.84
"Password Book With Alphabetical Tabs. Hardcover Password Keeper Notebooks For Seniors, Internet Password Logbook Journal, Address Organizer For Computer &amp; Website Logins, Pocket Size",5.21,11.99,100K+,0.57
"Lalayuan Powerful Electric Milk Frother,Mini Milk Foamer,Battery Operated(Not Included)Stainless Steel Drink Mixer,Handheld Electric Whisk For Coffee,Latte,Cappuccino,Chocolate,Matcha,Foam Maker,Electric Wireless Blender Mini Coffee Maker,Hand Mixer",2.71,10.87,29K+,0.75
"Windproof Fleece Balaclava Hood - Polyester Thermal Face Mask Hat Integrated Riding Neck Warmer Snood for Men, Street Style, Knit Fabric, Double Thick Cold Protection with Helmet-Compatible Design",3.78,32.99,18K+,0.89
"Detroit Football Graphic Hoodie for Women, Casual Polyester Knit Fabric Pullover, Regular Length, with Applique Detail, for Fall/Winter Hooded Sweatshirt",13.2,23.71,1.9K+,0.44
Stop Unwanted Barking Instantly with this Automatic Ultrasonic Dog Repellent Device,8.16,58.33,75K+,0.86
1/2/4pcs 8.0Ah 20V Replacement Li-ion Battery for Dewalt Cordless Power Tool Rechargeable XR battery packs Compatible with Dewalt DCB200 DCB204 DCB205 DCB206 DCB201 DCB203 DCB181 DCB180 20V DCB200 DCD DCF DCG Series Power Tools,22.36,,4.5K+,
"Women'S Fleece-Lined Leggings, Solid Color, High Stretch Polyester & Elastane, Knit Fabric, Long Length, Sports Style, Non-Waterproof, 155g/m², for Yoga, Fitness, Running, Fall/Winter",5.88,35.98,100K+,0.84
"1pc Interactive Running Rat Plush Toy for Cats & Small Dogs, Durable Plastic, All Breed Sizes, Battery-Free Clockwork Mouse Plaything",1.76,16.09,1.2K+,0.89
"2000LBS Garage Shelving 72''H Storage Shelves Heavy Duty Shelving 5 Tier Metal Shelves For Garage Shelves 35.5""W X72""H X 15.8""D, Adjustable Shelving Unit For Basement Pantry Utility Rack Shelf",45.92,119.99,17K+,0.62
"Cozy Winter Slipper for Women: Fleece Lining, PU Sole, and Soft Fabric Construction",11.69,42.58,47K+,0.73
"Wireless Charging Station 3-in-1 Standard 15W Fast Mag-Safe Charger Stand with QC3.0 Adapter, Suitable for iPhone 15 14 13 12 11 x 8 Pro Max/Pro/Mini/Plus, iWatch Ultra 9/8 7/6/5/4/3/2, AirPods 3/2",8.7,64.82,100K+,0.87
"Stainless Steel Banana & Cucumber Slicer - Perfect for BBQs & Outdoor Cooking, Food-Safe Kitchen Gadget",3.99,34.82,11K+,0.89
"1 Roll Waterproof Mildew Proof Toilet Caulk Strip, Self-Adhesive Sealing Tape For Kitchen Bathroom, Bathroom Waterproof Tape To Avoid Wet, Kitchen Sink Beautiful Seam Stickers",5.75,46.99,14K+,0.88
"Men's Thermocontrol WarmthPlus Touch-Screen Winter Gloves - Waterproof, Windproof with Zip Closure, Comfortable Fit for Outdoor Sports, Cycling & Skiing, Polyester Fabric",1.82,15.99,2.2K+,0.89
"1pc Soft Bedding Topper for Back Pain,Queen/King Size 900GSM Extra Thick Bedding Pad 8-21"" Deep Pocket Soft Down Alternative Fill Bedding Protector Cushion Top Bedding Cover(Shipping by Sea)",30.49,197.97,5.6K+,0.85
"Color Block Half Button Drawstring Hoodie, Casual Long Sleeve Hooded Sweatshirt For Spring & Fall, Women's Clothing",12.69,49.68,8.8K+,0.74
"Brazilian Double Hammock - Extra-Long 2 Person Portable Hammock Bed for Indoor or Outdoor Spaces - Hanging Rope, Carrying Pouch Included, Portable Hammock for Camping, Travel and Hiking Portable Swing (Blue/Red Stripes)",8.76,,97,
"12 Ft Long-Handled Microfiber Ceiling Fan Duster - Dust-Locking, Reusable, Machine Washable, Effortless Cleaning Brush - Detachable Brush For Easy Cleaning, Ideal For RVs & Home Use",3.0,17.5,79K+,0.83
"2in 1 Cat Scratching Board, Cat Scratching Post",5.62,50.49,8.2K+,0.89
"Winter Warm Fleece Slippers, Casual Solid Color Indoor Home Comfort Slip-Resistant Quiet Short Boots, All-Season Fabric Upper/Inner with EVA Sole and Fabric Insole",8.94,11.31,35K+,0.21
"Hailang Countertop Ice Maker With Handle, Makes 26 Pounds Of Ice In 24 Hours, 9 Blocks Of Ice In 7 Minutes, Self-Cleaning Portable Ice Maker With Basket And Scoop For Home/Kitchen/Camping/RV. (Black) Christmas Gift)(",38.98,109.99,7.2K+,0.65
"17-in-1 Surge Protector Power Strip with Switch, 11 US Outlets, 6 USB Ports (2 USB-C), 110V-130V, US Plug, 5/10ft - Ideal for Office, Kitchen, Dorm, Travel",14.01,59.99,36K+,0.77
"Retractable microfiber dust mop, flexible dust collector with metal handle for living room, bedroom and outdoor ceiling fans, high angles and a variety of surfaces - electrostatic dust and spider webs",1.71,,3.9K+,
"Elegant Long Padded Jacket Coat with Fleece Lining, Polyester, Solid Color, Knee-Length, Regular Long Sleeve, Zipper Detail - Winter Warmth Outerwear",24.97,177.37,28K+,0.86
"Easy-Grip 16.5"" Stainless Steel Shoe Puller for Seniors - Non-Slip, Durable Handle for Easy On & Off - Ideal for Disabled or Limited Mobility, Extended, Putting On And Taking Off Shoes",4.97,,2K+,
"Luxurious Ultra-Soft Double Sofa Blanket - Plush Fleece with Elastic Stripes, Perfect for Living Room, Bedroom, and Travel Essentials - Bright Pink/Ivory",7.28,49.99,31K+,0.85
"Valentine's Day Letter Print Pullover Sweatshirt, Casual Long Sleeve Crew Neck Sweatshirt For Fall & Winter, Women's Clothing",9.57,49.96,40K+,0.81
"80/60/24 Colors Double Tip Art Marking Pen, Alcohol Marking Pen, Sketch Marking Pen Permanent Alcohol Marking Pen With Drawing Box Sketch, Black Barrel, Party Gifts, Christmas Decorations, Home Decorati",2.83,,3.5K+,
"1pc Digital Display Portable Air Compressor Pump with LED Light, USB Charging, Rechargeable Lithium Battery, for Tire Inflation, Car/Bike/Motorcycle/Ball, Quieter & Longer Lasting, Intelligent Temperature Control",16.61,81.65,100K+,0.8
